Unixtime	state	scanDiameter	electrometerN	RHsh	Tsh	Tdsh
1.72E+09	SCAN	429.8026015	4170.110066	46.3	24	11.7
1.72E+09	SCAN	428.1598514	3934.494341	46.3	24	11.7
1.72E+09	SCAN	426.5238718	4054.577641	46.2	24	11.7
1.72E+09	SCAN	424.9093513	3785.397668	46.3	24	11.7
1.72E+09	SCAN	423.2947705	4080.137776	46.3	24	11.8
1.72E+09	SCAN	421.6741731	4322.448776	46.2	24	11.7
1.72E+09	SCAN	420.0666162	4109.724634	46.2	24	11.7
1.72E+09	SCAN	418.4744164	4293.073121	46.2	24	11.7
1.72E+09	SCAN	416.8942931	4292.499636	46.2	24	11.7
1.72E+09	SCAN	415.3139978	4365.268938	46.2	24	11.7
1.72E+09	SCAN	413.7407201	4414.796709	46.1	24.1	11.7
1.72E+09	SCAN	412.1725817	4263.100857	46.1	24	11.7
1.72E+09	SCAN	410.6068794	4493.513599	46.1	24	11.7
1.72E+09	SCAN	409.0495302	4480.482247	46.2	24	11.7
1.72E+09	SCAN	407.5085688	4451.686242	46.1	24	11.7
1.72E+09	SCAN	405.9598517	4413.461663	46.2	24	11.7
1.72E+09	SCAN	404.4269329	4602.060923	46.1	24	11.7
1.72E+09	SCAN	402.8978777	4475.424177	46.1	24	11.7
1.72E+09	SCAN	401.3786639	3563.97568	46	24	11.7
1.72E+09	SCAN	399.8588073	4021.110515	46	24	11.7
1.72E+09	SCAN	398.3404642	4583.45814	46	24	11.7
1.72E+09	SCAN	396.8481125	3461.573272	46	24	11.6
1.72E+09	SCAN	388.0393045	3818.030776	46	24	11.7
1.72E+09	SCAN	386.5933427	4173.541722	46	24	11.6
1.72E+09	SCAN	385.1510973	4631.616948	45.9	24	11.6
1.72E+09	SCAN	383.7234178	4502.249985	45.9	24	11.6
1.72E+09	SCAN	382.2986501	4389.473985	45.9	24	11.6
1.72E+09	SCAN	380.8773195	3657.780449	45.9	24	11.6
